Site,Pnode Name,Owner,Capacity (MW),Energy capacity (MWh),,,,,,,,,,,,,
Al Pastor BESS,LAMESASLR_G,UBS Asset Management,103.1,145.0,,,,,,,,,,,,,
Alvin (DGR),ALVIN_RN,ENGIE,10.0,10.0,,,,,,,,,,,,,
Anchor BESS 1,ANCHOR_ALL,Enel North America,35.2,54.0,,,,,,,,,,,,,
Anchor BESS 2,ANCHOR_ALL,Enel North America,36.3,59.0,,,,,,,,,,,,,
Andromeda Storage SLF 1,ANDMDSLR_LD1,Intersect Power,82.0,164.0,,,,,,,,,,,,,
Andromeda Storage SLF 2,ANDMDSLR_LD2,Intersect Power,78.0,156.0,,,,,,,,,,,,,
Anemoi Energy Storage,ANEM_ESS_RN,Plus Power,205.0,400.0,,,,,,,,,,,,,
Angelo Storage,ANG_ALL,Apex Clean Energy,103.0,200.0,,,,,,,,,,,,,
Angleton BESS,GAMBIT_RN,On.Energy,9.9,9.9,,,,,,,,,,,,,
Anole BESS,ANOL_ESS_RN,esVolta,247.1,480.0,,,,,,,,,,,,,
Antlia BESS,ANTL_ESS_ES1,ENGIE,72.4,140.0,,,,,,,,,,,,,
Avila BESS,AVIL_ESS_RN,ENGIE,160.0,320.0,,,,,,,,,,,,,
Azure Sky Solar,AZURE_RN,Enel North America,77.2,116.0,,,,,,,,,,,,,
Azure Sky Wind,VORT_ALL_RN,Enel North America,121.8,180.0,,,,,,,,,,,,,
Bat Cave,BATCAVE_RN,ENGIE,100.5,110.0,,,,,,,,,,,,,
Bay City,BAYC_BESS_RN,SMT Energy,9.9,9.9,,,,,,,,,,,,,
Blevins Storage,BLVN_RN,National Grid Renewables,188.0,360.0,,,,,,,,,,,,,
Blue Jay,BLUEJAY_RN,Enel North America,51.4,84.8,,,,,,,,,,,,,
Blue Summit,BLSMT1_5_A_6,NextEra Energy Resources,30.0,12.6,,,,,,,,,,,,,
Bocanova BESS,BCNV_RN,Nightpeak Energy,150.0,300.0,,,,,,,,,,,,,
BoCo BESS,BOCO_ESS_RN,Aypa Power,154.0,300.0,,,,,,,,,,,,,
Brazoria (DGR),BRP_BRAZ_RN,ENGIE,10.0,10.0,,,,,,,,,,,,,
Bright Arrow Storage U1,BR_ARROW_ALL,RWE,49.3,95.0,,,,,,,,,,,,,
Bright Arrow Storage U2,BR_ARROW_ALL,RWE,52.8,101.8,,,,,,,,,,,,,
BRP Angleton (DGR),BRPANGLE_RN,ENGIE,10.0,10.0,,,,,,,,,,,,,
Burksol BESS,BKSL_RN,esVolta,103.0,200.0,,,,,,,,,,,,,
Byrd Ranch,BYRDR_ES_ALL,GlidePath,50.0,50.0,,,,,,,,,,,,,
Cachi BESS,CACH_ESS_RN,ENGIE,200.0,400.0,,,,,,,,,,,,,
Callisto 1 Energy Center Unit 1,CLO_RN,Jupiter Power,101.5,212.5,,,,,,,,,,,,,
Callisto 1 Energy Center Unit 2,CLO_RN,Jupiter Power,101.5,212.5,,,,,,,,,,,,,
Cameron Storage,CAMWIND_RN,Ingka Investments,16.4,32.8,,,,,,,,,,,,,
Carina BESS,CARN_ESS_RN,ENGIE,150.0,300.0,,,,,,,,,,,,,
Castle Gap Battery,CASL_GAP_UN1,Luminant,9.9,42.0,,,,,,,,,,,,,
Catarina (DGR),CATARINA_B1,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Cedarvale (DGR),CEDRVALE_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Century BESS,CNTRY_RN,Prologis,9.9,19.0,,,,,,,,,,,,,
Cisco BESS,CISC_RN,Hunt Energy Network,9.9,10.8,,,,,,,,,,,,,
Citrus City BESS,CITRUSCY_RN,Prologis,9.9,22.4,,,,,,,,,,,,,
Commerce St (DGR),X443ESRN,CPS Energy,10.0,10.0,,,,,,,,,,,,,
Connolly Storage,RN_DEC_AGR_D,Tesla,125.0,250.0,,,,,,,,,,,,,
Continental BESS (DGR),CONTINEN_RN,REX Storage Holdings,9.9,9.9,,,,,,,,,,,,,
Coral Storage U1,CORALSLR_ALL,National Grid Renewables,48.4,61.4,,,,,,,,,,,,,
Coral Storage U2,CORALSLR_ALL,National Grid Renewables,52.2,59.4,,,,,,,,,,,,,
Coyote Springs,CSC_CSECG1_2,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Crockett BESS 1,CR_RN,Prologis,9.9,20.0,,,,,,,,,,,,,
Crosby BESS,CS_RN,On.Energy,9.9,20.0,,,,,,,,,,,,,
Cross Trails Storage,CROSSTRL_RN,Energy Vault,58.0,114.0,,,,,,,,,,,,,
Crossett Power 1,CROSSETT_ALL,Jupiter Power,101.5,100.0,,,,,,,,,,,,,
Crossett Power 2,CROSSETT_ALL,Jupiter Power,101.5,100.0,,,,,,,,,,,,,
Cunningham,SIG_SLR_RN,ACCIONA Energia,190.0,380.0,,,,,,,,,,,,,
Damon Storage,DA_BESS2,Vopak Energy Storage Texas,5.0,9.7,,,,,,,,,,,,,
Danish Fields Storage U1,DAN_ALL,TotalEnergies,77.8,115.0,,,,,,,,,,,,,
Danish Fields Storage U2,DAN_ALL,TotalEnergies,75.1,110.0,,,,,,,,,,,,,
Decordova 1,DC2SES_ALL,Vistra corp,67.3,67.3,,,,,,,,,,,,,
Decordova 2,DC2SES_ALL,Vistra corp,67.3,67.3,,,,,,,,,,,,,
Decordova 3,DC2SES_ALL,Vistra corp,64.2,64.2,,,,,,,,,,,,,
Decordova 4,DC2SES_ALL,Vistra corp,64.2,64.2,,,,,,,,,,,,,
Desert Willow BESS,DSWL_BES1,esVolta,150.0,300.0,,,,,,,,,,,,,
Dickens BESS U1,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U2,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U3,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U4,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickinson (DGR),DKNS_ESS_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Dogfish BESS,DGFS_ESR_RN,Gore Street Energy Storage Fund,75.0,91.5,,,,,,,,,,,,,
Ebony Energy Storage,EBNY_ESS_RN,Plus Power,203.5,400.0,,,,,,,,,,,,,
Eliza Storage,ELZA_SLR_RN,Enel North America,100.0,178.6,,,,,,,,,,,,,
Elsa (DGR),ELSA_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Endurance Park,ENDPARK_ESS1,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
Estonian Storage,ESTONIAN_ALL,Enel North America,101.6,177.2,,,,,,,,,,,,,
Eunice,EUNICE_ALL,Orsted,40.3,40.0,,,,,,,,,,,,,
Evelyn BESS,EVLN_ESS_RN,Excelsior Energy Capital,167.5,333.0,,,,,,,,,,,,,
Falfur BESS,FALFUR_RN2,Hunt Energy Network,9.9,11.4,,,,,,,,,,,,,
Falfurrias BESS,FALFUR_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Farmersville BESS (DGR),FRMRSVLW_RN,Adapture Renewables,9.9,10.9,,,,,,,,,,,,,
Farmersville West BESS 2 (DGR),FRMR_BS2_RN1,Hunt Energy Network,9.9,15.0,,,,,,,,,,,,,
Faulkner (DGR),FAULKNER_RN,Enel North America,15.9,19.4,,,,,,,,,,,,,
Fence Post BESS,FENCESLR_ALL,ENGIE,86.6,123.6,,,,,,,,,,,,,
Five Wells BESS,FIVEWSLR_ALL,Key Capture Energy,199.7,200.4,,,,,,,,,,,,,
Flat Top (DGR),-,Jupiter Power,9.9,16.9,,,,,,,,,,,,,
Flower Valley 1 (DGR),FLOWERII_RN,Jupiter Power,19.0,37.8,,,,,,,,,,,,,
Flower Valley 2,FLOWERII_RN,Recurrent Energy,100.9,200.0,,,,,,,,,,,,,
Fort Duncan BESS,FTDUNCAN_RN,Excelsior Energy Capital,87.1,172.9,,,,,,,,,,,,,
Gambit,GAMBIT_RN,Plus Power,100.0,175.0,,,,,,,,,,,,,
Garceno Bess (DGR),GARC_BESS_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Garden City East BESS (DGR),GARC_BESS_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Giga Texas Energy Storage,GIGA_ESS_RN,Tesla,128.0,249.0,,,,,,,,,,,,,
Gomez (DGR),GOMZ_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Great Kiskadee Storage,GKS_BESS_RN,SA Grid Solutions,103.0,200.0,,,,,,,,,,,,,
Gregory BESS,GREGORY_RN,REX Storage Holdings,9.9,9.9,,,,,,,,,,,,,
Hamilton Bess (DGR) U1,HAMI_BESS_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Harlingen II,HARLIN_1_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Hearn Road BESS,HEARN_RD_RN,Excelsior Energy Capital,9.9,9.9,,,,,,,,,,,,,
Heights (DGR),BRHEIGHT_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Holcomb (DGR),HOLCOMB_RN1,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Holy ESS U1,HLY_RN,UBS Asset Management,104.7,102.2,,,,,,,,,,,,,
Holy ESS U2,HLY_RN,UBS Asset Management,104.7,102.2,,,,,,,,,,,,,
House Mountain BESS,HOUSEMTN_RN,Jupiter Power,60.0,134.6,,,,,,,,,,,,,
Hummingbird Storage,HMNG_ESS_RN,Key Capture Energy,103.8,227.0,,,,,,,,,,,,,
Hydra BESS,HYDR_ESS_RN,ENGIE,200.8,200.8,,,,,,,,,,,,,
Inadale,IND_INADALE1,RWE,9.9,9.9,,,,,,,,,,,,,
Inertia BESS,INRT_W_ALL,NextEra Energy Resources,13.0,49.4,,,,,,,,,,,,,
Jade Storage SLF 1,JADE_SLR_ALL,Intersect Power,78.5,156.0,,,,,,,,,,,,,
Jade Storage SLF 2,JADE_SLR_ALL,Intersect Power,82.3,164.0,,,,,,,,,,,,,
Jaguar BESS 1,JAG_SLR_RN,SER Capital Partners,157.1,340.0,,,,,,,,,,,,,
Jarvis BESS U1,JAR_RN,SMT Energy,154.2,220.5,,,,,,,,,,,,,
Jarvis BESS U2,JAR_RN,SMT Energy,154.2,220.5,,,,,,,,,,,,,
Johnson City,JC_BAT_RN,Pedernales Electric Cooperative,2.3,2.3,,,,,,,,,,,,,
Judkins BESS (DGR),JDKNS_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Junction (DGR),JUNCTION_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Junction North BESS,JUNORTH_RN,Adapture Renewables,9.9,16.0,,,,,,,,,,,,,
Libra BESS,LBRA_BES1,ENGIE,200.0,200.0,,,,,,,,,,,,,
Liggett Switch BESS,LIGSW_RN,Prologis,9.8,9.5,,,,,,,,,,,,,
Lily,LILY_RN,Enel North America,50.0,72.7,,,,,,,,,,,,,
Limousin Oak Storage,LMO_ESR_RN,Key Capture Energy,105.0,226.8,,,,,,,,,,,,,
Lonestar,LONESTAR_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Longbow BESS,LON_RN1,Tokyo Gas America,174.0,348.0,,,,,,,,,,,,,
Loop 463 (DGR),-,ENGIE,9.9,10.0,,,,,,,,,,,,,
Lopeno (DGR),-,ENGIE,9.9,10.0,,,,,,,,,,,,,
Los Fresnos (DGR),L_FRE_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Lower Rio BESS,LOWR_ESS_RN,Ormat,60.0,120.0,,,,,,,,,,,,,
Lufkin South BESS (DGR),LFSTH_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Madero Grid 1,MADERO_RN,Eolian,100.0,273.0,,,,,,,,,,,,,
Madero Grid 2,MADERO_RN,Eolian,100.0,273.0,,,,,,,,,,,,,
Magnolia (DGR),MAG_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Mainland BESS (DGR),MAINLAND_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Mayberry Bess,MYRY_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Mayberry BESS 2,MYRY_BES2_RN,SMT Energy,9.9,14.5,,,,,,,,,,,,,
Midway BESS,MIDWY_RN,Prologis,9.9,9.9,,,,,,,,,,,,,
Mineral Wells East BESS (DGR),MWEC_G1,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Moore Field BESS,MOORE_FL_RN,REX Storage Holdings,9.9,9.9,,,,,,,,,,,,,
Muenster BESS,MUENSTER_RN,Excelsior Energy Capital,9.9,12.1,,,,,,,,,,,,,
Mustang Bayou BESS,MU_RN,On.Energy,10.0,19.7,,,,,,,,,,,,,
Mustang Creek Storage,MUSTNGCK_ALL,Enel North America,69.3,81.5,,,,,,,,,,,,,
Myrtle Storage U1,AE_RN,TotalEnergies,74.9,124.4,,,,,,,,,,,,,
Myrtle Storage U2,AE_RN,TotalEnergies,74.3,119.6,,,,,,,,,,,,,
Noble 1,NOBLESLR_ALL,National Grid Renewables,62.5,62.5,,,,,,,,,,,,,
Noble 2,NOBLESLR_ALL,National Grid Renewables,62.5,62.5,,,,,,,,,,,,,
North Alamo Bess,N_AL_BESS_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
North Columbia,NCO_RN,Key Capture Energy,50.0,98.0,,,,,,,,,,,,,
North Fork,NF_BRP_RN,ENGIE,100.0,110.0,,,,,,,,,,,,,
North Mercedes BESS (DGR),N_MRD_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Notrees,NWF_NWF1,Duke Energy,36.0,12.6,,,,,,,,,,,,,
Odessa SW (DGR),ODESW_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Olney (DGR),OLNEYTN_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Padua BESS 1,RN_PAD3_ESS,Eolian,51.4,122.0,,,,,,,,,,,,,
Paleo BESS,PALE_ESS_EN,ENGIE,200.8,212.5,,,,,,,,,,,,,
Pauline BESS (DGR),PAULN_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Pavlov BESS,PAVLOV_BT_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Pavo BESS 1,PAVO_ESS_ALL,ENGIE,86.5,87.5,,,,,,,,,,,,,
Pavo BESS 2,PAVO_ESS_ALL,ENGIE,86.5,87.5,,,,,,,,,,,,,
Photon BESS 1,PHO_ALL,Enel North America,150.0,234.0,,,,,,,,,,,,,
Photon BESS 2 SLF,PHO_ALL,Enel North America,150.0,230.0,,,,,,,,,,,,,
Port Lavaca (DGR),PTLBES_BESS1,Key Capture Energy,9.9,11.9,,,,,,,,,,,,,
Prairie Creek BESS,PRCRK_RN,SMT Energy,9.9,15.0,,,,,,,,,,,,,
Prospect (DGR),BRPANGLE_RN,GlidePath,9.9,9.9,,,,,,,,,,,,,
Pueblo 1 (DGR),BRP_PBL2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Pueblo 2 (DGR),BRP_PBL2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Pyron,PYR_PYRON1,RWE,9.9,9.9,,,,,,,,,,,,,
Pyron 2A,PYR_PYRON1,RWE,15.0,15.0,,,,,,,,,,,,,
Pyron 2B,PYR_PYRON1,RWE,15.0,15.0,,,,,,,,,,,,,
Rabbit Hill,RHESS2_ESS1,Ormat,9.9,9.9,,,,,,,,,,,,,
Ranchtown (DGR),WL_RANCH_RN,ENGIE,10.0,9.9,,,,,,,,,,,,,
Rattlesnake (DGR),RTLSNAKE_BT,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Regis Palacios BESS,PALACIOS_RN,REX Storage Holdings,9.9,9.9,,,,,,,,,,,,,
Republic Road,RPUBRDS_RN,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
Rio Grande City BESS (DGR),RIOG_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Rio Grande City BESS 2,RIOG_ESR2_RN,Prologis,9.9,22.4,,,,,,,,,,,,,
River Bend,RBN_BESS1,Cypress Creek Renewables,101.6,150.0,,,,,,,,,,,,,
River Valley 1,RVRVLYS_ALL,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
River Valley 2,RVRVLYS_ALL,Key Capture Energy,50.0,100.0,,,,,,,,,,,,,
Rodeo Ranch Energy Storage U1,RRANCHES_ALL,Plus Power,150.0,300.0,,,,,,,,,,,,,
Rodeo Ranch Energy Storage U2,RRANCHES_ALL,Plus Power,150.0,300.0,,,,,,,,,,,,,
Roseland,ROSELAND_ALL,Enel North America,56.3,82.0,,,,,,,,,,,,,
Russek Street BESS,RUSSEKST_RN,Hunt Energy Network,9.9,10.8,,,,,,,,,,,,,
Saddleback (DGR),SADLBACK_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Sandlake BESS,SANDLAKE_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Santa Rosa (DGR),SROSA_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Saragosa (DGR),SGSA_DGR,NW Group,9.9,20.0,,,,,,,,,,,,,
Screwbean (DGR),SBEAN_BESS,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Shamrock Energy Storage (SLF),SHAMROCK_RN,NextEra Energy Resources,99.3,259.9,,,,,,,,,,,,,
Sheep Creek Storage,SHEEPCRK_1,ENGIE,142.0,183.0,,,,,,,,,,,,,
Silicon Hill 1,SLCN_ESS_ALL,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
Silicon Hill 2,SLCN_ESS_ALL,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
Snyder (DGR),SNY_BESS_RN,Gore Street Energy Storage Fund,10.0,20.0,,,,,,,,,,,,,
SP TX-12B,SPTX12B_RN,Ormat,25.1,25.1,,,,,,,,,,,,,
Spencer BESS,SP_RN,On.Energy,9.9,20.0,,,,,,,,,,,,,
St. Gall 2 Energy Storage,SG_BES_BESS1,Jupiter Power,102.5,200.0,,,,,,,,,,,,,
St. Gall I Energy Storage,SG_BES_BESS1,Jupiter Power,104.5,203.0,,,,,,,,,,,,,
Stampede BESS,STAM_SLR_ALL,Enel North America,71.5,112.0,,,,,,,,,,,,,
Sun Valley Bess 1,SUNVASLR_ALL,ENGIE,54.1,53.3,,,,,,,,,,,,,
Sun Valley Bess 2,SUNVASLR_ALL,ENGIE,47.3,46.7,,,,,,,,,,,,,
Sunset Ridge Energy Center,-,Equinor,9.9,20.0,,,,,,,,,,,,,
Sweeny (DGR),SWEENY_LD1,ENGIE,10.0,10.0,,,,,,,,,,,,,
Sweetwater (DGR),SWEETWN2_2_4,Gore Street Energy Storage Fund,10.0,20.0,,,,,,,,,,,,,
Swoose (DGR),SWOOSE1_U1,Jupiter Power,9.9,19.8,,,,,,,,,,,,,
Swoose 2,SWOOSEII_RN,Jupiter Power,101.0,204.8,,,,,,,,,,,,,
Tanzanite Storage U1,TANZ_ESS_RN,ENGIE,132.9,257.0,,,,,,,,,,,,,
Tanzanite Storage U2,TANZ_ESS_RN,ENGIE,132.9,257.0,,,,,,,,,,,,,
Telview BESS,TV_RN,Agilitas Energy,9.9,21.0,,,,,,,,,,,,,
Tidwell Prairie Storage U1,TDWLPR_1_RN,Jupiter Power,102.0,200.0,,,,,,,,,,,,,
Tidwell Prairie Storage U2,TDWLPR_1_RN,Jupiter Power,102.0,200.0,,,,,,,,,,,,,
Timberwolf Bess,TBWF_ES_BES1,Spearmint Energy,150.0,300.0,,,,,,,,,,,,,
Toyah Power Station (DGR),TOYAH_RN,Hunt Energy Network,10.4,9.9,,,,,,,,,,,,,
Triple Butte (DGR),TRIPBUT1_RN,Jupiter Power,7.5,15.0,,,,,,,,,,,,,
Tynan BESS,TYNAN_RN,Hunt Energy Network,9.9,10.8,,,,,,,,,,,,,
Val Verde,MV_VALV4_RN,Hunt Energy Network,10.0,10.0,,,,,,,,,,,,,
Walstrom BESS,WAL_RN,Tesla,200.0,400.0,,,,,,,,,,,,,
Weil Tract BESS,WLTC_ESR_RN,Hunt Energy Network,9.9,10.8,,,,,,,,,,,,,
Westover (DGR),WOV_BESS_RN,Gore Street Energy Storage Fund,9.9,20.0,,,,,,,,,,,,,
Wigeon Whistle BESS,WIG_BESS_RN,UBS Asset Management,122.9,174.0,,,,,,,,,,,,,
Wolf Tank,WFTANK_ESS1,Aypa Power,155.0,173.0,,,,,,,,,,,,,
Worsham (DGR),WRSBES_BESS1,Key Capture Energy,9.9,17.9,,,,,,,,,,,,,
Zapata 1 (DGR),BRP_ZPT2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Zapata 2 (DGR),BRP_ZPT2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Zier Storage U1,ZIER_SLR_ALL,Cypress Creek Renewables,40.1,78.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
